,text,prediction,actual
10,ninestone didnotprovidedepartment didnotprovidelocation didnotprovidecompanyprofile group focus two part help increase site social medium strategy conduct research various topic write report would like see group consist someone somewhat decent technical skill work seo marketing majorjournalism major help social medium write report science student research various report didnotproviderequirements didnotprovidebenefits,0,1
11,structural engineer didnotprovidedepartment us tx houston didnotprovidecompanyprofile choose aecom imagine work truly global company whose 45000 employee share singular passion make world good place enjoy aecom bring project life city community work drive set value common purpose create enhance sustain world build natural social environment innovation build every project manage every community serve well provide support environment allow grow succeed come share passion usabout business line build engineeringwe deliver creative solution building project industry government commercial leisure sector building engineering specialist expertise structural building service engineering fire engineering acoustic facade seismic design embed sustainability principle every designjob summary aecoms network talented professional create center excellence support planning design construction oversight facility relate industrial agribusiness market sector successful candidate role involve perform project documentation task high efficiency utilize computer aid design tool revit autocad accordance project guideline direction project engineer deliver complete accurate project design assignment within schedule parameter schedule budget responsible designanalysis documentation interdisciplinary coordination assigned project perform construction administration task include shop draw review change order preparation field problem resolution interact communicate effectively professionally team member assist training development discipline staff direct experience design steel frame industrial commercial building include detailing structural connection minimum requirement qualification minimum 10 year related experience within architecturalengineeringconstruction professional practice proficient use revit autocad basic understanding major engineering system complete understanding design documentation task associate production engineering construction document general understanding various regulatory building code ability take responsibility give task limited supervision effective oral write communication skillseducationbachelors degree engineering abet accredit school register professional engineer orlicensed structural engineer least one state examination 8 hour fe 8 hour pe ncees registration plus didnotprovidebenefits,0,1
12,java developer technology us ca california didnotprovidecompanyprofile director quality assurancenomis search director quality assurance lead quality engineering group quality consistency product development customer implementation operationswho buildour topnotch people prove hadoop technology stack complex analytics tackle big data challenge bank every day deliver mission critical customer pricing product mix insight benefit bank customer vision transform consumer banking play quite bit table tennis along waywho areyour middle name quality obsess continuously raise bar handson inspirational leader balance thoroughness efficiency tight timeframes passionate build worldclass quality engineering group improve banking lot doneresponsibilitiesunify quality engineering across product implementation operationsmentor team onoffshore quality engineer create pervasive quality culture gamify testingdefine analytic testing methodology include synthetic data set expert model vertical configurationpartner team continuously adapt test meet constraint maximize utilityestablish metric benchmark product quality nonfunctional requirement customer satisfactioncontinually innovate automate robust rapid test infrastructure desire skill experience10+ year experience software qualitytesting role 3+ year architecthandson managerdeep expertise test webbased enterprise software power data complex analyticshigh comfort work selenium jmeter java ant script languagesstrong knowledge relational database sql similar exposure nonrelational technologiesoperational understanding statistical concept application didnotprovidebenefits,0,1
13,administrative assistantoffice assistant adminclerical us didnotprovidecompanyprofile name company apex investment group apex investment group privately hold usbased company combine 50 year american expertise real estate development architectural design engineering skillposition focusthe administrativeoffice assistant employ functional accounting expertise process essential financial record keep provide tactical support human resource office operation roleas member office administration team administrative assistant performs essential office operation accounting bookkeeping function ensure accurate timely payable receivables administrative assistant also provide administrative support hr daily operationsprimary responsibility review log prepare invoice service receivables review log prepare payment vendor payable perform monthly bank reconciliation enter sale client contract information accounting system prepare vendor payment check receive process client payment prepare deposit own office supply inventory audit order supply answer multi line phone call call client follow service assist ceo administrative function include limit file report new hire processing simple candidate recruiting functionsaccountabilities deliverable accurate recordkeeping across area responsibility duty must perform minimal error consistent accurate data entry payable receivable data effective oversight vendor payable client receivables ensure require data documentation appropriately log account ensure require necessary office supply readily available need effective business operationexperience competency education candidate must possess associate bachelor degree concentration accounting finance minimum two year apar experience professional environment demonstrate understanding basic accounting principle previous experience use quickbooks require must skilled manage multiple assignment simultaneously minimal error successful candidate ideally possess high resistance stress demonstrate high level personal accountability ownership duty responsibility offer competitive salary growth opportunity ideal candidate,0,1
14,production manager heavy duty diesel 2022 didnotprovidedepartment us tn morristown didnotprovidecompanyprofile 2022job title production manager heavy duty dieselrole engineering relatedrelocation available yesindustry manufacturinglocation tennesseetown city morristownjob type permanent fulltimejob descriptionthe production manager responsible specified section department heavy duty piston operation business unit specified section typically comprise six ten production cost center machine surface treatment process andor inspectionassembly processesthe primary responsibility diesel production manager1 productionoperations machine product surface treatment andor inspectionassembly processesthe manager specific department business unit responsibility performance include product quality operational efficiency staffing salary hourly position production schedule capacity utilization control cost labor operate expense maintenancekey measure success business unit establish zero base budgeting process complete annually key measure review revise year reflect continuous improvement program design reduce costkey measure departmental performance include external internal quality customer quality measure productscrap cost quality overall equipment effectiveness oee labor cost per unit cost center budget v volume adjust planned budget product inventory capacity utilization2 conjunction director business unit manager responsible development execution intermediate long term business technical plan respective departmentsintermediate long term business technical plan include plan new product process assure cost competitive high quality manufacturing set direction cost reductioncontinuous improvement projectsthis comprehensive planning encompass allaspects department include future manufacturing concept quality innovation capital investment capacity planningalso include completion maintenance business planbudget department business plan establish long term strategic business plan 5 year plan complete annually two year intermediate plan utilize zero base budget process complete annuallythe immediate plan include departmental staff controllable expense departmental maintenance cost projection capacity planning cost reduction planning capital investment planningthe department manager responsible resource allocation detailed planning execute two year intermediate plan3 capital investment planning operation equipment source development procurement require manager respective departmentsthe manager responsibility hd diesel capital investment meet short long term need departmentsthis include plan vendor selection equipment specification development equipment design commercial negotiation price warranty etc conjunction purchase equipment approval installationprimarily investment make new replacement production equipment machine tool quality inspection equipment automation equipment4 process development engineeringin conjunction hdd engineeringresponsibility development implementation ofmachining surface treatment quality process new product new process determine long term planning department outline 2 abovethe primary purpose engineering resource within business unit assure development efficient low cost process futuremore specifically aspect new process design development implementation occurs within business unit vs outside supplier process technology pt department5 manufacturingprocess engineeringin conjunction hdd engineering process engineeringprimarily dedicate exist operationsthe focus engineering group continuous improvementcost reduction product introduction prototype developmentproduction process maintenance exist processes6 production support line set trainingresponsible production support staff consist 515 machine line set associatestechnicians group leader facilitate efficient line set activity emphasis reduction line set timethese associate also responsible aspect job training new exist associatessupervisory responsibilitiesmanages eight supervisor departmental management group direct supervisory responsibility 100 220 salaried hourly employee responsible overall direction coordination evaluation respective departmentscompletes supervisory responsibility accordance organization policy applicable law responsibility include interview hiring training employee plan assigning direct work appraise performance rewarding discipline employee address complaint resolve problemseducation experiencebachelors degree b mechanical industrial engineering fouryear college university equivalent experience manufacturingjob experience least two year industrial environment preferably close tolerance high quality machine processescomprehensive knowledge operation management system mechanical industrial engineering principle quality system piston manufacture system inspection process spcbottom line requirements1bachelors degree mechanical industrial engineering22+ year industrial environment involve close tolerance high quality machine processes3experience operation management system mechanical industrial engineering principle quality systems4experience piston manufacture system inspection process spc bottom line requirements1bachelors degree mechanical industrial engineering22+ year industrial environment involve close tolerance high quality machine processes3experience operation management system mechanical industrial engineering principle quality systems4experience piston manufacture system inspection process spc didnotprovidebenefits,0,1
15,administrative assistant administrative us mi dearborn decade experience than5000 industry expert in51 country msx international serf perpetual pioneer open new road retail network human capital solution space leverage expertise passionate pursuit outstanding result adept bring innovative solution customer complex challengesthrough industry experience lead talent cuttingedge technology best practice serve business need help achieve goal dedicated team commit make business efficient costeffective profitable successful innovator automotive industry half century create company identifies maximize opportunity effectively solve problem deliver comprehensive business strategy give competitive advantage msx international currently seek administrative assistant support vehicle energy management chief engineer highpaced highprofile office environment responsibility include maintain office filing system record retention manage incoming outgo mail email correspondence daily schedule meeting preparation resolve meeting request conflict timely efficient manner provide high quality administrative support development preparation organization chart report communication correspondence spreadsheet power point presentation etc coordinate organize travel plan include schedule itinerary travel expense report submission reconciliation maintain followup assignment request information require routinely interact vice president president ceos board member staff interface union worker ensure facility issue take care responsible international service employee ise duty include tax personal bill payment visas house set move maintain high level confidentiality manage sensitive information extreme care represent office professional manner phone email person interface effectively employee level ideal candidate high school degree bachelor degree prefer must strong oral write interpersonal communication skill along strong organizational skill ability work independently minimal supervision ability plan prioritize support multiple assignment project simultaneously proactive resolve issuesconcerns proficient use company software outlook powerpoint word excel program require internet 401k health benefit dental child care vacation bonus company vehicle,0,1
16,require assistant accountant didnotprovidedepartment au nsw sydney didnotprovidecompanyprofile know career among important thing life company currently seek assistant accountantthe role involve limit collate analyse challenge information provide support claimsundertake financial analysis quantification damageslosses extrapolation dataclient liaison provision expert advice communication liaison insurance company external client successful candidate highly develop administration skill excellent attention detail ability organise prioritise task effectively ideally come shipping supply chain experience work fast pace environment strong verbal write communication skill must deal key internal external stakeholder high level computer literacy strong knowledge experience use ms excel m word highly desirable work timesmonday friday first trial period possible trainingthis perfect opportunity technically mind accountant eager step rapidly grow organisation play pivotal part expansion plan please send resume,0,1
17,accountingdata entry didnotprovidedepartment us ny newyork didnotprovidecompanyprofile responsibility responsible delivery outstanding customer service answer inbound communication phone call email future individual regard general question include provide data necessary form status exist case expect follow client provide script adhere establish standard operating procedure expect adhere schedule include start ontime take break lunch scheduled time close shift scheduledrequirements fluent english spanish basic pc internet skill passion customer service excellence ability research fact analyze situation make decision prioritize complete task timely manner effective listen skill outstanding verbal write communication skill analytical problemsolving skill aptitude learn ability work independently appropriate telephone etiquette high level accuracy flexibility work different shift high school diploma ged didnotproviderequirements didnotprovidebenefits,1,0
18,field service tech capital equipment 1970 didnotprovidedepartment us ny new york city didnotprovidecompanyprofile 1970job title field service tech capital equipmentrole technician maintenancerelocation available must reside target territoryindustry manufacturinglocation new yorktown city new york cityjob type permanent fulltimejob descriptionleading capital equipment company seekingfieldservicetechnicians thefieldserviceexperience need food manufacturing equipment material handle high speed packaging equipment similarresponsibilitiessetupservice troubleshoot repair equipment customer facilitiesinstall enhancement test calibrate meet customer specific needsvisit plant make courtesy call provide customer trainingrequirements positionsability travel work independently flexible regard frequent change schedulehands electromechanical experience pneumatics hydraulics acdc motor control plcs servo systemsexcellent customer relation skill include ability explain trainas degree electronics equivalent experiencepriorfieldserviceexperience ability speak spanishgood write verbal communication skillscomputer skill microsoft offeringsbottom line requirements1electromechanical field service experience capital machinery pneumatics hydraulics acdc motor control plcs servo systems2excellent customer relation skill include ability explain train3as degree electronics equivalent experience4field service experience target territory5 bilingual english spanish bottom line requirements1electromechanical field service experience capital machinery pneumatics hydraulics acdc motor control plcs servo systems2excellent customer relation skill include ability explain train3as degree electronics equivalent experience4field service experience target territory5 bilingual english spanish didnotprovidebenefits,0,1
19,oilgas asset manager didnotprovidedepartment us tx houston didnotprovidecompanyprofile position summarythe asset manager plan develop execute wide variety project across number functional area include technical service operation maintenance person provide strategic oversight management mast substructure company also work closely teammate provide support collaboration strategic vision role require collaborative goaloriented solutionbased approach successfully manage wide range assigned critical project meet time sensitive objectiveskey responsibilitiescoordinate regional operation field support team achieve company objective serve primary point contact equipment manufacturer adequately track project status distribute product line bulletin collect disseminate lesson learn confirm implementation across company establish coordinate maintain company warranty process guideline develop maintain quality product review process utilizing crossfunctional team internal external analyze equipment data define produce communicate kpi result across company set interval required equipment track realtime status project deployment provide regular report internal external company stakeholder develop process work within moc management change policy ensure standardization equipment lead responsibility identify manage quantity quality project deliverable within establish project deadline develop implement maintenance plan policy company own critical equipment develop maintenance program budget develop afe approval expenditure purchasing process forecast track report cost produce trend analysis assess effectiveness maintenance program procedure develop critical spare strategy monitor oversee implementation field establish asset critical spare part minimize financial impact nonproductive time maximize regionalrig efficiency serve subject matter expert company support minimum qualificationsthe ideal candidate sufficient project management skill coordinate $ 1m+ order able develop required process support efficient operation cross functional team candidate possess following skill solid depth experience technical field related industry 34 year experience project management role proven ability initialize plan execute control monitor project ability understand costto completion projection make decision accordingly ability develop forecast establish manage budget ability use variety technique tool manage project scope cost schedule contractual deliverable devise contingency plan ensure ability analyze failure reliability rate ability drive performance effective leadership decisionmaking problemsolving skill must possess effective verbal write communication skill ability engage level management colleague individual inside outside company must possess strong computer skill proven ability utilize microsoft office software eg ms word power point project visio excel etc discipline specificsoftware application drive efficiency productivity must eligible drive company vehicle meet requirement company vehicle use agreement driving policypreferred qualificationsbs degree mechanical engineeringrelevant experience oil gas andor electrical industry particular interestwork environment position require person able work time sensitive high visible role regularly travel need support business unit visit work sit may also require extend travel remote location andor overnight stay variable hour variable work hour include hour work weekend holiday hour travel within outside assign regionthe asset manager must work emphasis plan multitasking prioritization maximize efficiency team must able work closely others manage customer interaction professional manner ability safely navigate work site occasional walk climb stand step etc normal operate condition daynight outdoor hotcold weather utilize designated personal protective equipment ppeapplicant requirementsin order apply position applicants must meet follow criterion resume match criterion able apply position didnotprovidebenefits,0,1
20,he manager didnotprovidedepartment us tx houston didnotprovidecompanyprofile job description worleyparsons commit provide exceptional professional service customer energy resource complex process industry service cover full spectrum size life cycle creation new asset service sustain enhance operate assetsjob description ie duty responsibilities task etches activity include calculation control he budget staff requirement schedule preparation certificationclassification program preparation support he document coordination execution safety case support study quantitative risk assessment process hazard analyse fire protection specification environmental impact assessment require certification regulatory entity fabrication yard act incident injuryfree iif program leader module fabrication location ensure fabrication site adhere company regulatory he standard guideline conduct onsite risk assessment mitigation manages train supervises fabrication he personnel expert knowledge project hes standard program goal manage application he procedure establish project fabrication sit departmental training provide guidance assistance advice interpretation project he practice procedure relation client requirement current legislation regulation liaise necessary project client insurance carrier regulatory agency order provide assistance resolution regard audit remedial action worker compensation claim he related issue make decision independently engineeringscientific problem method relate he use advanced technique modification extension theory precept practice particular field relate science discipline provide input he permit preparation project maintain expert knowledge current guideline regulation develop customizes supervise implementation he program include project sitebased he orientation recognition award program level project staff ensure balance productivity safety project staff visitor accordance withapplicable law regulation run gap analysis identify address program gap may occur project practice client requirement regulatorylegislative requirement order ensure project conform project client regulatorylegislative requirement initiate foster maintains he standard goal project wide he program heighten awareness ensure safe productive work environment supervise monitoring he metric order provide recommendation he management necessary meet established hesstandards goal oversee development approach solution hesrelated issue include manage investigation accident nearmisses summarization finding recommendation strategy prevent recurrence supervise proposal implementation course action approve project oversee collection protection data storage relate project incident may result litigation supervise preparation maintenance retrieval communication record report document may require meet corporate regulatory requirement include monitor application he standard goal related dutiesfunctions assigned job requirementsrequiredaccredited bachelor degree equivalent preferredintermediate computer software skill include use word processing email well intermediate use spreadsheet electronic presentation skill demonstrate capability run large project knowledge ability leadership skill include mediation skill high critical thinkingreasoning ability effective communication skill strong presentation skill include public speaking strong organizational skill ability attend detail work timeconscious timeeffective manner he related experience foreign experience proven ability work contractor personnel mentoringdevelopmental role didnotprovidebenefits,0,1
21,quant analyst didnotprovidedepartment gb lnd london didnotprovidecompanyprofile client award winninghighfrequency prop trading firmspecializing trading fixed income equity oil option look experience quant theyre base city theyre look quant analyst strong academic background and25 year experience join teamthe position report head financial engineering would work quants team quant analyst would responsible forstatistical analysis historic realtime datadefine identify data value client businessesadd statistical understanding datamining process draw trend strategy arbitrage prop sale tradingworking closely software development bring data dataanalysis frontoffice risk trading systemgain strong understanding derivative theory application within context client business modelsunderstand implementation specific math function eg vol pricing mode greeks risk analysescontribute financial engineering support role eventually provide primary support resourcequantitative skillsdevelop program expertise usingc++ within unixlinux environmentcontribute development new mathematical implementation enhance competitive edge market placeskills set experienceexperience work statisticalanalysis large datasetsnumerical degree egmaths engineering physicsnumerical science relatedbasic codingstrong personality fit within company cultureability desire work directlyexperience work quant financial trading companyexperience work trader software developersdesire work directly support development mathematical implementation within context client trade businessesexperience use statistical analysis financial market environmentcoding single thread multithreaded environment egvbvba java c c++ideal candidate experience cod inc++unixlinux experience excellent bonus potential double basic depending personal company performance,0,1
22,sale manager sale marketing didnotprovidecompanyprofile collaborates insert title establish recommend realistic sale goal company manage assigned geographic sale area product line maximize sale revenue meet corporate objective establishes manages effective program compensate coach appraise train sale personnel performs sale activity major account negotiates sale price discount consultation insert title manages personnel develop sale sale support staff review progress sale role throughout company accurately forecast annual quarterly monthly revenue stream develop specific plan ensure revenue growth company product provide quarterly result assessment sale staff productivity coordinate proper company resource ensure efficient stable sale result formulates sale policy practice procedure interprets short longterm effect sale strategy operating profit educate sale team establish programsseminars area new account sale growth sale emerge product multiproduct sale profitability improve presentation strategy competitive strategy proper use level sale support management expense businessfinancial issue contract,0,1
23,intern project developer didnotprovidedepartment us didnotprovidecompanyprofile look intern project development responsible gathering arrange project label network meet greets build presence use internet constructing pitch treatment high school diplomapreferable bachelor degreegood communication skillsfocusedselfcontrolledgood workerontime time perk knowledge chance manage 6 week internship,0,1
